공릉2동,"10,169","26,601",57,9,"9,600","24,995",56,10,"9,346","24,423",56,10
하계1동,"31,238","93,002",190,54,"30,838","88,145",196,32,"29,698","84,799",196,32
하계2동,"62,952","176,626",465,13,"54,231","150,751",454,28,"55,752","164,900",454,28
중계본동,"19,728","49,716",129,12,"21,888","55,328",124,9,"21,739","53,244",124,9
중계1동,"62,415","198,113",453,25,"62,379","193,383",450,35,"65,329","202,069",450,35
중계4동,"21,215","54,037",138,15,"22,513","60,701",138,13,"20,650","55,262",138,13
중계2.3동,"54,932","180,844",414,32,"55,606","185,184",403,24,"51,767","168,680",403,24
상계1동,"12,260","32,551",82,13,"12,813","33,094",80,11,"13,031","33,364",80,11
상계2동,"168,746","264,003",340,75,"177,738","260,297",335,39,"159,048","236,212",335,39
상계3.4동,"12,055","17,931",55,5,"12,933","18,943",52,4,"12,463","18,312",52,4
상계5동,"107,015","184,655",474,47,"117,421","199,841",449,35,"108,839","188,125",449,35
상계6.7동,"40,678","129,679",244,65,"40,305","135,118",241,44,"46,366","144,515",241,44
상계8동,"16,097","100,952",367,17,"19,825","125,460",358,18,"18,202","112,631",358,18
상계9동,"29,949","109,041",268,16,"28,399","113,161",263,32,"26,176","96,097",263,32
상계10동,"33,700","84,199",211,13,"31,304","85,168",206,13,"29,594","82,534",206,13
은평구,"38,357","65,311",155,17,"39,097","66,615",153,16,"38,383","65,389",153,16
녹번동,"46,327","81,687",172,39,"46,263","81,927",197,27,"45,606","82,722",197,27
불광1동,"19,209","45,338",102,10,"19,338","43,183",101,10,"17,662","39,099",101,10
불광2동,"54,434","88,650",232,21,"55,890","93,399",230,21,"52,715","87,767",230,21
갈현1동,"102,649","145,898",270,26,"100,738","141,014",265,29,"95,581","131,256",265,29
갈현2동,"69,573","117,306",295,32,"71,255","120,873",293,38,"71,303","119,661",293,38
구산동,"51,997","94,125",255,33,"50,341","90,062",255,32,"51,600","91,943",255,32
대조동,"132,947","206,175",372,41,"133,865","210,449",319,30,"123,188","199,264",319,30
응암1동,"64,872","94,017",229,35,"68,255","99,228",225,26,"72,954","105,390",225,26
응암2동,"44,924","78,823",230,17,"52,119","89,079",233,16,"52,674","90,211",233,16
응암3동,"121,704","158,492",362,34,"123,323","161,286",355,26,"122,532","155,381",355,26
역촌동,"131,179","194,959",431,38,"138,083","202,353",423,42,"135,383","194,457",423,42
신사1동,"91,094","148,222",347,26,"89,392","148,118",343,30,"89,559","148,252",343,30
신사2동,"48,900","73,295",207,18,"50,332","73,382",207,18,"47,410","69,087",207,18
증산동,"40,643","62,662",182,25,"45,932","69,674",180,31,"43,500","66,881",180,31
수색동,"23,252","39,843",93,12,"19,967","37,581",71,15,"21,788","40,636",71,15
진관동,"4,077","16,217",47,4,"4,334","17,318",45,3,"4,575","18,093",45,3
서대문구,"54,692","100,445",178,44,"53,376","97,141",178,38,"51,787","94,184",178,38
천연동,"45,728","90,771",214,19,"41,445","82,547",209,21,"42,153","84,913",209,21
북아현동,"305,682","391,142",375,29,"330,746","412,189",368,40,"345,668","419,597",368,40
충현동,"91,856","166,000",159,222,"82,083","150,469",157,124,"85,173","150,378",157,124
신촌동,"43,583","108,531",74,83,"37,938","92,108",75,20,"32,456","79,023",75,20
연희동,"31,543","65,189",125,30,"29,905","61,946",128,50,"27,308","58,913",128,50
홍제1동,"50,531","82,266",152,12,"43,245","78,605",166,17,"40,247","73,504",166,17
홍제3동,"44,003","75,420",150,15,"39,916","71,443",149,11,"38,255","69,333",149,11
홍제2동,"29,590","58,217",207,17,"37,460","64,908",205,10,"37,820","65,643",205,10
홍은1동,"22,841","41,284",144,10,"22,598","42,486",144,49,"23,033","42,781",144,49
홍은2동,"23,857","45,338",149,18,"27,122","49,116",134,28,"27,676","49,959",134,28
남가좌1동,"29,175","161,287",360,31,"30,165","164,213",355,82,"27,254","162,457",355,82
남가좌2동,"86,004","127,623",282,22,"82,107","122,256",315,23,"73,861","111,652",315,23
북가좌1동,"45,830","107,617",311,32,"47,988","109,244",311,31,"44,697","109,011",311,31
북가좌2동,"151,825","226,958",433,34,"157,212","234,469",425,37,"153,370","236,676",425,37
마포구,"45,074","88,484",151,91,"44,681","86,859",127,58,"42,596","82,310",127,58
아현동,"72,208","176,287",314,262,"73,532","179,654",301,250,"72,535","179,095",301,250
공덕동,"144,766","195,793",429,124,"146,315","199,603",363,51,"142,501","192,857",363,51
도화동,"66,445","131,496",258,182,"57,362","121,085",212,152,"58,463","122,187",212,152
용강동,"68,108","121,901",220,207,"78,149","142,210",192,145,"76,899","138,431",192,145
